Economy,Economy Code,Gallup World Poll identifier,Weight,Respondent is female,Respondent age,Respondent education level,Within-economy household income quintile,Has an account,Has an account at a financial institution,Has a mobile money account,Has a debit card,If has debit card: card in own name,If has debit card: used card in past 12 months,Has a credit card,If has credit card: used card in past 12 months,If does not have account: b/c too far away,If does not have account: b/c too expensive,If does not have account: b/c lack documentation,If does not have account: b/c lack trust,If does not have account: b/c religious reasons,If does not have account: b/c lack of money,If does not have account: b/c family member already has one,If does not have account: b/c cannot get one,If does not have account: b/c no need for financial services,If has account: any deposit into account in past 12 months,If has any deposit into account: number of monthly deposits,If has account: any withdrawal from account in past 12 months,If has any withdrawal from account: number of monthly withdrawals,If has account: most frequent mode of cash withdrawal,If has account: made a transaction using a mobile phone,Made payments online using the Internet,Saved in past 12 months: for farm/business purposes,Saved in past 12 months: for old age,Saved in past 12 months: for education or school fees,Saved in past 12 months: using an account at a financial institution,Saved in past 12 months: using an informal savings club,"Has loan from a financial institution for house, apartment, or land",Borrowed in past 12 months: from a financial institution,Borrowed in past 12 months: from a store (store credit),Borrowed in past 12 months: from family or friends,Borrowed in past 12 months: from another private lender,Borrowed in past 12 months: for education or school fees,Borrowed in past 12 months: for medical purposes,Borrowed in past 12 months: for farm/business purposes,Possibility of coming up with emergency funds,If able to come up with emergency funds: main source,Sent domestic remittances in past 12 months,If sent domestic remittances: in cash,If sent domestic remittances: through a financial institution,If sent domestic remittances: through a mobile phone,If sent domestic remittances: through an MTO,Received domestic remittances in past 12 months,If received domestic remittances: in cash,If received domestic remittances: through a financial institution,If received domestic remittances: through a mobile phone,If received domestic remittances: through an MTO,Paid utility bills in past 12 months,If paid utility bills: in cash,If paid utility bills: using an account,If paid utility bills: through a mobile phone,Paid school fees in past 12 months,If paid school fees: in cash,If paid school fees: using an account,If paid school fees: through a mobile phone,Received wage payments in past 12 months,If received wage payments: work in public sector,If received wage payments: in cash,If received wage payments: into an account or to a card,If received wage payments: through a mobile phone,If received cashless wage payments: account use,If received cashless wage payments: account type,Received government transfers in past 12 months,If received government transfers: in cash,If received government transfers: into an account or to a card,If received government transfers: through a mobile phone,If received cashless government transfers: account use,If received cashless government transfers: account type,Received agricultural payments in past 12 months,If received agricultural payments: in cash,If received agricultural payments: into an account,If received agricultural payments: through a mobile phone,Saved in the past year,Borrowed in the past year
India,IND,136256382,0.303373877,2 female,35,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,(dk),,,,(dk),,,,no,,,,,,,no,,,,,,no,,,,no,yes
India,IND,202875995,4.052691338,2 female,20,completed primary or less,2 second 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,6 (dk),no,no,no,no,no,no,(dk),no,no,no,yes,no,yes,yes,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,yes,yes,no,no,no,yes
India,IND,142190576,0.526787053,1 male,20,secondary,4 fourth 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,185458252,2.837637574,2 female,45,completed primary or less,2 second 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,2 somewhat possible,"2 family, relatives, or friends",yes,yes,no,no,no,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,181535143,0.350502433,2 female,25,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,no,no,,,,,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,yes,yes,no,no,yes,no
India,IND,185180905,2.248744279,1 male,15,secondary,3 middle 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,6 (dk),no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,(dk),,,,no,yes
India,IND,176963213,2.605887365,1 male,40,completed primary or less,4 fourth 20%,yes,yes,no,no,,,no,,,,,,,,,,,yes,3 money is not deposited in a typical month,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,yes,no,yes,no,1 all of the money right away,"3 this was your first account, and it was opened so you could receive payments from the government.",yes,yes,no,no,no,yes
India,IND,171492488,0.358334706,1 male,48,secondary,4 fourth 20%,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,1 all of the money right away,"2 you had an account before, but this account was opened so you could receive payments from an employer.",yes,yes,yes,yes,1 all of the money right away,1 you had this account before you began receiving payments from the government.,yes,yes,no,no,yes,yes
India,IND,145546957,1.793587891,2 female,25,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,(dk),no,no,no,no,no,no,no,no,2 somewhat possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,no,no
India,IND,140328416,4.052691338,1 male,22,completed primary or less,3 middle 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,yes,no,yes,no,1 all of the money right away,1 you had this account before you began receiving payments from the government.,yes,yes,no,no,no,yes
India,IND,121073400,2.605887365,1 male,40,completed primary or less,4 fourth 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,,,yes,no,yes,no,1 all of the money right away,1 you had this account before you began receiving payments from the government.,yes,yes,no,no,yes,no
India,IND,146150566,0.678989018,1 male,36,completed primary or less,3 middle 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,yes,yes,,,,,,,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,4 not at all possible,,no,,,,,(dk),,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,119483806,0.350502433,2 female,30,completed primary or less,4 fourth 20%,yes,yes,no,no,,,no,,no,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,yes,no,no,,,,yes,no,yes,no,no,,,no,,,,,,yes,yes,no,no,no,no
India,IND,142928907,0.620554418,1 male,50,completed primary or less,2 second 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,yes,no,yes,no,1 all of the money right away,"2 you had an account before, but this account was opened so you could receive payments from the government.",yes,yes,no,no,no,yes
India,IND,160147986,1.631633361,1 male,48,secondary,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,2 somewhat possible,"2 family, relatives, or friends",no,,,,,yes,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,,,no,,,,,,yes,yes,no,no,yes,yes
India,IND,132186290,3.104844141,2 female,40,completed primary or less,3 middle 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,yes,no,yes,no,yes,no,(dk),(dk),no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,yes,yes,no,no,,,yes,yes,no,no,yes,yes
India,IND,189026628,0.202395121,2 female,27,secondary,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,yes,yes,no,no,no,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,136656859,0.22649291,1 male,30,completed tertiary or more,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,no
India,IND,169329414,2.085802334,2 female,22,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,yes,yes,no,no,no,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,178898487,0.781972819,1 male,35,completed tertiary or more,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,yes,no,yes,no,1 all of the money right away,1 you had this account before you began receiving payments from the government.,yes,yes,no,no,yes,yes
India,IND,206875356,1.601807704,2 female,42,completed primary or less,3 middle 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,yes,no,no,,,,,,,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,4 not at all possible,,no,,,,,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,127615761,0.447348538,2 female,50,completed primary or less,5 richest 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,6 (dk),no,no,no,no,no,yes,yes,no,no,no,yes,yes,(dk),yes,no,2 somewhat possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,yes,yes,no,no,,,no,,,,yes,yes
India,IND,166850773,4.052691338,2 female,23,completed primary or less,2 second 20%,no,no,no,no,,,no,,no,no,yes,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,135640118,0.85900361,1 male,68,completed tertiary or more,4 fourth 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,no,yes,no,1 all of the money right away,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,no
India,IND,124869011,2.687573741,1 male,20,completed tertiary or more,2 second 20%,yes,yes,no,no,,,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1 very possible,"2 family, relatives, or friends",no,,,,,no,,,,,(dk),,,,(dk),,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,127042127,2.408398187,1 male,24,completed primary or less,3 middle 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,yes,no,,,,,,,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
India,IND,207478130,0.411028805,2 female,24,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,yes,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,(dk),,,,(dk),,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,195901770,0.770350996,1 male,32,completed tertiary or more,4 fourth 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,no,yes,no,1 all of the money right away,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,no
India,IND,197187095,0.411028805,2 female,22,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,yes,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,(dk),,,,(dk),,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,187846915,1.155526494,1 male,30,completed tertiary or more,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,1 you get it at an atm,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,1 very possible,1 savings,yes,yes,no,no,no,no,,,,,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,,,no,,,,,,yes,no,no,no,yes,yes
India,IND,151682714,0.280817371,2 female,24,secondary,5 richest 20%,no,no,no,no,,,no,,no,no,yes,no,no,yes,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,2 somewhat possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,no,yes
India,IND,202041819,0.230415766,1 male,28,completed tertiary or more,4 fourth 20%,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,yes,yes,1 all of the money right away,1 you had this account before you began receiving payments from an employer.,no,,,,,,no,,,,yes,yes
India,IND,193097085,1.85218027,2 female,39,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,yes,no,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,3 not very possible,3 money from working or a loan from an employer,no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,no,no
India,IND,173795655,0.264641979,2 female,48,completed primary or less,5 richest 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,154541304,1.354223552,2 female,45,completed primary or less,5 richest 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,6 (dk),no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,1 very possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,yes,yes,yes,no,yes,yes
India,IND,144670843,0.723905077,2 female,39,completed primary or less,4 fourth 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,165085807,1.824652827,2 female,28,completed primary or less,3 middle 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,5 (do not need to get cash),no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,3 money from working or a loan from an employer,yes,yes,no,no,no,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,no,no
India,IND,139488364,0.793925937,2 female,45,completed primary or less,2 second 20%,yes,yes,no,no,,,no,,no,no,no,(dk),(dk),(dk),yes,no,yes,,,,,,,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,no,,,,(dk),,,,,,,no,,,,,,yes,no,yes,no,yes,yes
India,IND,128965309,0.308628311,2 female,35,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,no,yes,no,no,yes,no,yes,no,,,,,,,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,3 not very possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,no,yes
India,IND,121444344,0.405047727,1 male,35,completed primary or less,4 fourth 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,yes,yes,no,no,yes,yes
India,IND,165930810,0.264641979,2 female,45,completed primary or less,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,5 (do not need to get cash),no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,2 somewhat possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,no,,,,yes,yes
India,IND,210889315,0.168108725,2 female,45,completed primary or less,5 richest 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,no,,,,yes,yes
India,IND,177558154,2.858425394,1 male,65,secondary,3 middle 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,1 one or two times per month,yes,1 one or two times per month,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,2 somewhat possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,no,,,,,,yes,yes,no,no,no,yes
India,IND,208029140,0.347883744,1 male,70,completed primary or less,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,no,,,,no,yes
India,IND,178643131,1.012619318,1 male,37,completed primary or less,2 second 20%,yes,yes,no,no,,,no,,,,,,,,,,,no,,no,,2 you get it over the counter in a branch of your financial institution,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,3 not very possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,yes,yes,no,no,,,yes,yes,yes,no,no,yes
India,IND,208315843,0.467971122,1 male,33,completed primary or less,4 fourth 20%,yes,yes,no,yes,no,no,no,,,,,,,,,,,no,,no,,1 you get it at an atm,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,1 all of the money right away,"2 you had an account before, but this account was opened so you could receive payments from an employer.",no,,,,,,no,,,,yes,yes
India,IND,128635011,0.418181178,2 female,34,completed primary or less,4 fourth 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,no,,no,,5 (do not need to get cash),no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,3 not very possible,3 money from working or a loan from an employer,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,3 (dk),4 (dk),no,,,,,,no,,,,yes,yes
India,IND,145614298,0.542928808,2 female,35,completed primary or less,5 richest 20%,yes,yes,no,yes,no,no,no,,,,,,,,,,,no,,yes,1 one or two times per month,1 you get it at an atm,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,3 not very possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,yes,yes,no,no,yes,yes
